doc1,doc2,Footer_BLEU,Footer_Cosine,Math Strategies_BLEU,Math Strategies_Cosine,Reading Writing Strategies_BLEU,Reading Writing Strategies_Cosine,Sample Weekly Schedule_BLEU,Sample Weekly Schedule_Cosine,Study Plan Phases_BLEU,Study Plan Phases_Cosine,Study Tips_BLEU,Study Tips_Cosine,Summary_BLEU,Summary_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Aarthi_1.json,Aarthi_2.json,1.0,1.0,0.2238,0.8928,0.353,0.9384,0.8718,0.9921,0.3395,0.9479,0.4741,0.9479,0.1736,0.8789,0.362,0.8813,0.2783,0.9499,0.3446,0.974,0.5369,0.9615,0.5241,0.9874,Aarthi
Aarthi_1.json,Aarthi_3.json,1.0,1.0,0.2435,0.8902,0.5,0.9455,0.8446,0.9893,0.4159,0.9606,0.4264,0.9398,0.1226,0.8608,0.3348,0.8686,0.2913,0.9572,0.2967,0.9808,0.5959,0.9619,0.5233,0.9871,Aarthi
Aarthi_1.json,Aarthi_4.json,1.0,1.0,0.4243,0.9472,0.4986,0.9394,0.8718,0.9921,0.4358,0.9704,0.4331,0.9613,0.3479,0.9095,0.5347,0.9645,0.3994,0.9545,0.815,0.9956,0.5925,0.9768,0.6145,0.9917,Aarthi
Aarthi_2.json,Aarthi_3.json,1.0,1.0,0.368,0.9522,0.3571,0.913,0.8037,0.9886,0.3826,0.9751,0.4173,0.9091,0.3391,0.9642,0.362,0.9461,0.5224,0.9653,0.5354,0.971,0.7135,0.9856,0.585,0.9934,Aarthi
Aarthi_2.json,Aarthi_4.json,1.0,1.0,0.1543,0.8925,0.3439,0.9096,1.0,1.0,0.449,0.9728,0.4756,0.9474,0.0438,0.8799,0.3657,0.8655,0.2686,0.951,0.3161,0.9736,0.6171,0.9551,0.5298,0.9889,Aarthi
Aarthi_3.json,Aarthi_4.json,1.0,1.0,0.2506,0.8841,0.4741,0.9473,0.804,0.9886,0.3615,0.9732,0.5619,0.9455,0.1371,0.8777,0.2671,0.8378,0.3037,0.9313,0.2702,0.9792,0.6476,0.9573,0.5208,0.9862,Aarthi
Govind_1.json,Govind_2.json,1.0,1.0,0.2498,0.8786,0.2698,0.9163,0.8856,0.9922,0.3299,0.9534,0.5559,0.939,0.2693,0.8785,0.2429,0.8653,0.2092,0.9238,0.2808,0.8928,0.7317,0.9938,0.525,0.9858,Govind
Govind_1.json,Govind_3.json,1.0,1.0,0.3111,0.9362,0.4611,0.9456,0.8856,0.9922,0.4945,0.9728,0.2744,0.8885,0.2895,0.9644,0.3387,0.9502,0.3407,0.9659,0.3079,0.9754,0.7567,0.9898,0.5683,0.9901,Govind
Govind_1.json,Govind_4.json,1.0,1.0,0.271,0.94,0.2254,0.8637,0.8856,0.9922,0.3658,0.9616,0.4514,0.968,0.2403,0.9496,0.2589,0.8651,0.4724,0.972,0.445,0.9811,0.6821,0.991,0.5667,0.9923,Govind
Govind_2.json,Govind_3.json,1.0,1.0,0.3783,0.9044,0.2511,0.9163,1.0,1.0,0.2717,0.9511,0.3441,0.9019,0.2014,0.8821,0.3238,0.8686,0.1591,0.9202,0.223,0.8992,0.6782,0.9862,0.5053,0.9844,Govind
Govind_2.json,Govind_4.json,1.0,1.0,0.3689,0.9047,0.3498,0.8969,1.0,1.0,0.3171,0.9535,0.5225,0.9233,0.1736,0.8776,0.2207,0.8066,0.2041,0.922,0.3721,0.9044,0.7381,0.9914,0.5395,0.9863,Govind
Govind_3.json,Govind_4.json,1.0,1.0,0.5642,0.9908,0.3526,0.9017,1.0,1.0,0.3758,0.9538,0.2989,0.8825,0.2449,0.942,0.2122,0.8879,0.5221,0.9839,0.4514,0.9787,0.6312,0.9851,0.5722,0.9886,Govind
Ishan_1.json,Ishan_2.json,1.0,1.0,0.3628,0.8738,0.2517,0.8965,0.8284,0.9888,0.1736,0.9497,0.2253,0.8793,0.037,0.768,0.2841,0.9467,0.1533,0.8674,0.4504,0.9708,0.6743,0.9926,0.4779,0.9883,Ishan
Ishan_1.json,Ishan_3.json,1.0,1.0,0.1727,0.8637,0.3866,0.9536,0.8786,0.9926,0.2313,0.9554,0.2474,0.8768,0.0272,0.7636,0.44,0.9349,0.2058,0.8866,0.2004,0.9611,0.4875,0.9717,0.4461,0.9821,Ishan
Ishan_1.json,Ishan_4.json,1.0,1.0,0.2271,0.9123,0.3749,0.9438,0.9319,0.9754,0.2028,0.9543,0.3745,0.8974,0.0115,0.7575,0.5156,0.9625,0.1585,0.8701,0.1976,0.9463,0.5959,0.9817,0.4852,0.9852,Ishan
Ishan_2.json,Ishan_3.json,1.0,1.0,0.2022,0.897,0.2226,0.9019,0.9511,0.9961,0.3725,0.9529,0.3283,0.8946,0.0272,0.8625,0.1964,0.936,0.4593,0.9662,0.2835,0.9755,0.4414,0.9691,0.4792,0.9853,Ishan
Ishan_2.json,Ishan_4.json,1.0,1.0,0.2034,0.8806,0.2579,0.8904,0.8193,0.9713,0.3444,0.9513,0.3072,0.8825,0.0252,0.8576,0.1816,0.9578,0.5083,0.9762,0.2513,0.9555,0.5599,0.9805,0.4916,0.9884,Ishan
Ishan_3.json,Ishan_4.json,1.0,1.0,0.1856,0.8841,0.3868,0.9617,0.8693,0.9766,0.4277,0.9774,0.5589,0.9411,0.4011,0.94,0.3591,0.9413,0.5121,0.9787,0.5793,0.9689,0.483,0.9683,0.5873,0.9912,Ishan
Jevinn_1.json,Jevinn_2.json,1.0,1.0,0.2589,0.9145,0.1948,0.9123,0.8553,0.976,0.2859,0.9534,0.4855,0.9343,0.3887,0.9654,0.0501,0.8714,0.4132,0.9792,0.2474,0.9752,0.3874,0.9761,0.489,0.9914,Jevinn
Jevinn_1.json,Jevinn_3.json,1.0,1.0,0.2273,0.8903,0.1896,0.8769,0.9339,0.9894,0.3052,0.9672,0.4122,0.9109,0.2278,0.9535,0.1449,0.9429,0.4147,0.9657,0.6702,0.9936,0.356,0.9705,0.5181,0.9905,Jevinn
