doc1,doc2,Elevation_BLEU,Elevation_Cosine,Footer_BLEU,Footer_Cosine,Foundation_BLEU,Foundation_Cosine,Peak_BLEU,Peak_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,math strategies_BLEU,math strategies_Cosine,motivational paragraph_BLEU,motivational paragraph_Cosine,reading writing strategies_BLEU,reading writing strategies_Cosine,study_tips_BLEU,study_tips_Cosine,weekly_schedule_BLEU,weekly_schedule_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Aarthi_1.json,Aarthi_2.json,0.3159,0.9407,1.0,1.0,0.2054,0.8759,0.1576,0.8622,0.4258,0.9698,0.3429,0.8851,0.47,0.9766,0.601,0.9727,0.0343,0.8582,0.1316,0.8901,0.1508,0.8625,0.0815,0.89,0.9665,0.9993,0.424,0.9805,Aarthi
Aarthi_1.json,Aarthi_3.json,0.2475,0.9121,1.0,1.0,0.1681,0.8899,0.2612,0.8504,0.6553,0.9757,0.233,0.8876,0.7441,0.9936,0.3324,0.9548,0.1365,0.8324,0.0731,0.9142,0.163,0.8551,0.2782,0.9057,0.7424,0.9774,0.4246,0.9814,Aarthi
Aarthi_1.json,Aarthi_4.json,0.3714,0.9557,1.0,1.0,0.3046,0.9498,0.2759,0.9007,0.1115,0.914,0.2241,0.8782,0.4162,0.9667,0.3076,0.9707,0.1429,0.8205,0.2547,0.9365,0.3011,0.8918,0.0811,0.8497,0.7403,0.9759,0.3727,0.9816,Aarthi
Aarthi_2.json,Aarthi_3.json,0.3332,0.9115,1.0,1.0,0.1682,0.8665,0.1245,0.873,0.4371,0.9702,0.1294,0.8977,0.5074,0.9787,0.283,0.9453,0.1262,0.8651,0.1708,0.8362,0.3699,0.9411,0.0315,0.856,0.7317,0.9762,0.3736,0.9794,Aarthi
Aarthi_2.json,Aarthi_4.json,0.302,0.9425,1.0,1.0,0.2413,0.889,0.2434,0.9095,0.1117,0.9065,0.3583,0.9338,0.4108,0.9547,0.3164,0.9608,0.0436,0.8122,0.0876,0.8221,0.2208,0.8626,0.0282,0.8435,0.7293,0.9731,0.3627,0.9801,Aarthi
Aarthi_3.json,Aarthi_4.json,0.1876,0.9104,1.0,1.0,0.2293,0.8931,0.3084,0.902,0.1149,0.9197,0.1644,0.8891,0.4091,0.965,0.1339,0.9498,0.0355,0.846,0.1477,0.9385,0.2455,0.8481,0.1675,0.884,0.9141,0.9889,0.3489,0.9848,Aarthi
Dhrithi_1.json,Dhrithi_2.json,0.2991,0.9243,1.0,1.0,0.2692,0.9279,0.3666,0.9613,0.4392,0.9782,0.0354,0.8071,0.464,0.9766,0.3976,0.9473,0.2574,0.9116,0.2231,0.905,0.4184,0.8869,0.4788,0.9703,0.5321,0.9163,0.4272,0.986,Dhrithi
Dhrithi_1.json,Dhrithi_3.json,0.4371,0.9431,1.0,1.0,0.2698,0.9551,0.2824,0.8974,0.2705,0.876,0.1451,0.7299,0.3694,0.9669,0.5807,0.9843,0.0247,0.81,0.1402,0.9046,0.0755,0.823,0.1859,0.8438,0.5678,0.9041,0.3723,0.9705,Dhrithi
Dhrithi_1.json,Dhrithi_4.json,0.246,0.8926,1.0,1.0,0.5556,0.9719,0.2303,0.8639,0.3004,0.9073,0.1741,0.7485,0.3877,0.979,0.5509,0.9774,0.2363,0.8646,0.1405,0.8761,0.4763,0.9117,0.5194,0.9343,0.6153,0.9435,0.441,0.9786,Dhrithi
Dhrithi_2.json,Dhrithi_3.json,0.3284,0.9039,1.0,1.0,0.3174,0.9362,0.1947,0.869,0.3447,0.8852,0.1112,0.7099,0.4378,0.969,0.4207,0.9475,0.0255,0.7789,0.3509,0.9034,0.0738,0.7626,0.2117,0.8473,0.6991,0.9436,0.3871,0.9758,Dhrithi
Dhrithi_2.json,Dhrithi_4.json,0.4375,0.9256,1.0,1.0,0.2818,0.9397,0.184,0.8234,0.2289,0.9135,0.2314,0.8003,0.2975,0.97,0.3971,0.9527,0.3091,0.8251,0.1813,0.8844,0.381,0.8571,0.2819,0.9153,0.498,0.9131,0.3758,0.9786,Dhrithi
