doc1,doc2,Footer_BLEU,Footer_Cosine,Study Plan Phases_BLEU,Study Plan Phases_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,math strategies_BLEU,math strategies_Cosine,motivational paragraph_BLEU,motivational paragraph_Cosine,reading writing strategies_BLEU,reading writing strategies_Cosine,study_tips_BLEU,study_tips_Cosine,weekly_schedule_BLEU,weekly_schedule_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Aarthi_1.json,Aarthi_2.json,1.0,1.0,0.1983,0.9399,0.5692,0.983,0.4009,0.9464,0.1335,0.9303,0.3798,0.873,0.3444,0.9025,0.2816,0.9352,0.2042,0.8813,0.2032,0.8779,0.8928,0.9929,0.4001,0.9824,Aarthi
Aarthi_1.json,Aarthi_3.json,1.0,1.0,0.2981,0.9579,0.7752,0.9965,0.3386,0.9417,0.3513,0.9548,0.7043,0.9402,0.138,0.8832,0.4042,0.9536,0.3004,0.9173,0.399,0.9327,0.8395,0.9884,0.4851,0.9865,Aarthi
Aarthi_1.json,Aarthi_4.json,1.0,1.0,0.2533,0.9423,0.2504,0.9311,0.3473,0.9485,0.2912,0.9446,0.5654,0.9382,0.2398,0.926,0.3321,0.9467,0.4155,0.9447,0.3974,0.9397,0.9873,0.9989,0.455,0.988,Aarthi
Aarthi_2.json,Aarthi_3.json,1.0,1.0,0.2709,0.9476,0.6125,0.9847,0.4011,0.9324,0.1891,0.9516,0.4099,0.9012,0.2973,0.9149,0.2442,0.9513,0.1998,0.8377,0.3177,0.9271,0.9239,0.9897,0.4314,0.984,Aarthi
Aarthi_2.json,Aarthi_4.json,1.0,1.0,0.295,0.9418,0.2408,0.9355,0.3753,0.9418,0.2573,0.9661,0.4373,0.9093,0.2049,0.8882,0.4529,0.9784,0.3095,0.9056,0.2353,0.8887,0.9056,0.9936,0.4063,0.9814,Aarthi
Aarthi_3.json,Aarthi_4.json,1.0,1.0,0.3434,0.9591,0.3036,0.9354,0.3265,0.9521,0.4077,0.9672,0.6634,0.9737,0.1606,0.8716,0.1566,0.9442,0.3411,0.9112,0.2749,0.9122,0.83,0.9851,0.428,0.9823,Aarthi
Dhrithi_1.json,Dhrithi_2.json,1.0,1.0,0.1915,0.9243,0.181,0.8993,0.2487,0.8757,0.8746,0.9972,0.3322,0.9385,0.0316,0.8751,0.1392,0.9274,0.091,0.7818,0.2911,0.8485,0.4975,0.9337,0.3669,0.9607,Dhrithi
Dhrithi_1.json,Dhrithi_3.json,1.0,1.0,0.217,0.9336,0.1928,0.9213,0.3327,0.9322,0.689,0.9911,0.7636,0.9869,0.1176,0.8938,0.2358,0.9291,0.1362,0.7553,0.2993,0.8324,0.5172,0.9492,0.4196,0.9605,Dhrithi
Dhrithi_1.json,Dhrithi_4.json,1.0,1.0,0.4433,0.9731,0.1744,0.9245,0.3305,0.8726,0.7319,0.9857,0.2527,0.9529,0.1105,0.888,0.5296,0.9657,0.474,0.8744,0.4562,0.9416,0.6481,0.9781,0.4894,0.969,Dhrithi
Dhrithi_2.json,Dhrithi_3.json,1.0,1.0,0.4362,0.9459,0.2337,0.9413,0.3436,0.918,0.6432,0.9914,0.2485,0.9354,0.2579,0.9204,0.2641,0.9352,0.2325,0.8883,0.2864,0.9057,0.8304,0.9775,0.4314,0.9711,Dhrithi
Dhrithi_2.json,Dhrithi_4.json,1.0,1.0,0.2167,0.9238,0.2003,0.9564,0.2634,0.8372,0.7645,0.9881,0.5141,0.9693,0.0298,0.8714,0.1534,0.9403,0.0238,0.7955,0.2543,0.8679,0.5669,0.9258,0.374,0.9635,Dhrithi
Dhrithi_3.json,Dhrithi_4.json,1.0,1.0,0.2264,0.9371,0.2449,0.9629,0.2312,0.8402,0.6013,0.9833,0.26,0.9528,0.065,0.8666,0.254,0.9363,0.1967,0.8515,0.243,0.8483,0.5961,0.9426,0.3681,0.9768,Dhrithi
Govind_1.json,Govind_2.json,1.0,1.0,0.4027,0.9702,0.7716,0.9916,0.4249,0.9307,0.6118,0.9833,0.3416,0.9343,0.2089,0.8866,0.1367,0.9327,0.264,0.865,0.2566,0.923,0.8647,0.9849,0.4703,0.9903,Govind
Govind_1.json,Govind_3.json,1.0,1.0,0.3804,0.9694,0.2737,0.9721,0.6684,0.9623,0.6768,0.9828,0.5409,0.95,0.3298,0.9174,0.5898,0.9776,0.4917,0.9525,0.4674,0.9478,0.9625,0.9995,0.5777,0.9895,Govind
Govind_1.json,Govind_4.json,1.0,1.0,0.3223,0.949,0.455,0.9775,0.6194,0.9753,0.6161,0.9845,0.5033,0.9305,0.5546,0.971,0.1418,0.8786,0.3794,0.9285,0.4899,0.9483,1.0,0.9999,0.5424,0.9908,Govind
Govind_2.json,Govind_3.json,1.0,1.0,0.396,0.9694,0.2851,0.9712,0.3423,0.9417,0.7485,0.9914,0.3669,0.9532,0.3039,0.8826,0.1789,0.9387,0.272,0.8865,0.2678,0.9183,0.8986,0.9848,0.4603,0.9879,Govind
Govind_2.json,Govind_4.json,1.0,1.0,0.4032,0.9594,0.4828,0.9737,0.3748,0.9261,0.8444,0.9918,0.3513,0.9443,0.1924,0.8747,0.1345,0.8718,0.2405,0.8742,0.2565,0.9166,0.8649,0.9849,0.4485,0.9874,Govind
Govind_3.json,Govind_4.json,1.0,1.0,0.3254,0.9588,0.1767,0.9642,0.5051,0.9496,0.8374,0.9893,0.5824,0.9688,0.243,0.9168,0.1255,0.8788,0.3065,0.9296,0.3946,0.9533,0.9625,0.9996,0.4843,0.9869,Govind
Ishan_1.json,Ishan_2.json,1.0,1.0,0.3935,0.962,0.1424,0.9311,0.4311,0.9352,0.5414,0.9743,0.101,0.9093,0.3277,0.9079,0.2227,0.9157,0.3407,0.9213,0.4666,0.8814,0.8714,0.9946,0.4648,0.9865,Ishan
Ishan_1.json,Ishan_3.json,1.0,1.0,0.2713,0.9289,0.187,0.8915,0.444,0.9343,0.493,0.968,0.5539,0.9754,0.3163,0.8868,0.3121,0.9051,0.2182,0.8814,0.4478,0.8801,0.7651,0.9778,0.4555,0.9754,Ishan
