doc1,doc2,Study Plan Phases_Cosine,Want to Go Further?_Cosine,What This Means For You_Cosine,Your Learning Persona_Cosine,Your SAT Practice Snapshot_Cosine,math strategies_Cosine,motivational paragraph_Cosine,reading writing strategies_Cosine,study_tips_Cosine,weekly_schedule_Cosine,User
Aarthi_1.json,Aarthi_2.json,0.9444,0.9924,0.9569,0.9346,0.872,0.9302,0.9526,0.9045,0.8732,0.9931,Aarthi
Aarthi_1.json,Aarthi_3.json,0.9569,0.9984,0.9472,0.9637,0.9637,0.9093,0.9635,0.9178,0.938,0.9849,Aarthi
Aarthi_1.json,Aarthi_4.json,0.9433,0.921,0.9477,0.9523,0.9571,0.9313,0.9601,0.9401,0.947,0.9991,Aarthi
Aarthi_2.json,Aarthi_3.json,0.9641,0.9933,0.9568,0.962,0.8952,0.9262,0.9637,0.8777,0.9174,0.9818,Aarthi
Aarthi_2.json,Aarthi_4.json,0.9585,0.9212,0.9531,0.9733,0.8995,0.8996,0.9822,0.9309,0.8798,0.9932,Aarthi
Aarthi_3.json,Aarthi_4.json,0.9729,0.9242,0.9648,0.9746,0.9866,0.8792,0.9564,0.9112,0.9152,0.9831,Aarthi
Dhrithi_1.json,Dhrithi_2.json,0.9272,0.9034,0.8816,0.9984,0.9592,0.8757,0.9362,0.7706,0.8347,0.8918,Dhrithi
Dhrithi_1.json,Dhrithi_3.json,0.9439,0.9108,0.9378,0.9948,0.9952,0.8897,0.9488,0.7583,0.8543,0.9108,Dhrithi
Dhrithi_1.json,Dhrithi_4.json,0.9799,0.9327,0.8514,0.9892,0.9676,0.8943,0.9772,0.8833,0.9349,0.9709,Dhrithi
Dhrithi_2.json,Dhrithi_3.json,0.9528,0.9532,0.9247,0.9947,0.9569,0.9258,0.9439,0.8995,0.9118,0.9738,Dhrithi
Dhrithi_2.json,Dhrithi_4.json,0.925,0.961,0.8211,0.99,0.981,0.8794,0.9446,0.7949,0.8488,0.8993,Dhrithi
Dhrithi_3.json,Dhrithi_4.json,0.9428,0.9676,0.7991,0.9872,0.9671,0.8693,0.9508,0.8539,0.8464,0.919,Dhrithi
Govind_1.json,Govind_2.json,0.9673,0.9954,0.9486,0.9868,0.953,0.9115,0.9406,0.8718,0.905,0.9785,Govind
Govind_1.json,Govind_3.json,0.9738,0.9784,0.9695,0.987,0.965,0.922,0.981,0.9548,0.9553,0.9999,Govind
Govind_1.json,Govind_4.json,0.9551,0.9828,0.9822,0.9861,0.9559,0.976,0.926,0.9296,0.9506,1,Govind
Govind_2.json,Govind_3.json,0.9684,0.9778,0.9569,0.9955,0.9688,0.8963,0.9495,0.8962,0.902,0.9784,Govind
Govind_2.json,Govind_4.json,0.9741,0.9811,0.9388,0.997,0.9611,0.9008,0.9314,0.8829,0.8989,0.9785,Govind
Govind_3.json,Govind_4.json,0.9698,0.9742,0.9546,0.9958,0.9837,0.9199,0.9309,0.9339,0.956,0.9999,Govind
Ishan_1.json,Ishan_2.json,0.9623,0.9254,0.9541,0.9848,0.9082,0.915,0.9466,0.9275,0.8804,0.9913,Ishan
Ishan_1.json,Ishan_3.json,0.9248,0.8722,0.9506,0.9783,0.9854,0.8838,0.9413,0.8638,0.8675,0.9629,Ishan
Ishan_1.json,Ishan_4.json,0.9419,0.9272,0.9627,0.943,0.9116,0.8454,0.9288,0.827,0.8777,0.9866,Ishan
Ishan_2.json,Ishan_3.json,0.9445,0.9447,0.9516,0.9874,0.9067,0.9133,0.962,0.8822,0.8941,0.9674,Ishan
Ishan_2.json,Ishan_4.json,0.9477,0.9704,0.9604,0.9414,0.9479,0.9222,0.9356,0.8699,0.8906,0.9786,Ishan
Ishan_3.json,Ishan_4.json,0.9534,0.9536,0.9592,0.9493,0.9109,0.8787,0.9465,0.8958,0.9387,0.9719,Ishan
Jevinn_1.json,Jevinn_2.json,0.9566,0.9424,0.9611,0.9289,0.9794,0.9477,0.947,0.9075,0.9376,0.985,Jevinn
Jevinn_1.json,Jevinn_3.json,0.9622,0.9328,0.9457,0.9307,0.9543,0.9322,0.9516,0.9091,0.8704,0.9874,Jevinn
Jevinn_1.json,Jevinn_4.json,0.9696,0.9882,0.9429,0.996,0.9708,0.9067,0.9488,0.8768,0.8617,0.9869,Jevinn
Jevinn_2.json,Jevinn_3.json,0.9662,0.9599,0.9737,0.9936,0.961,0.9133,0.9244,0.9452,0.8887,0.9955,Jevinn
Jevinn_2.json,Jevinn_4.json,0.9607,0.9424,0.9705,0.9288,0.9712,0.8999,0.9794,0.9246,0.9013,0.9957,Jevinn
