doc1,doc2,Footer_BLEU,Footer_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,Your Study Plan: Based on You_BLEU,Your Study Plan: Based on You_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Aarthi_1.json,Aarthi_2.json,1.0,1.0,0.4989,0.7112,0.2329,0.6385,0.2709,0.5981,0.2849,0.6388,0.3347,0.88,0.3703,0.925,Aarthi
Aarthi_1.json,Aarthi_3.json,1.0,1.0,0.4091,0.6368,0.1711,0.6052,0.3684,0.6314,0.2882,0.7027,0.3401,0.8742,0.3794,0.9251,Aarthi
Aarthi_1.json,Aarthi_4.json,1.0,1.0,0.5154,0.7345,0.129,0.5464,0.2176,0.6123,0.1384,0.6711,0.3398,0.8434,0.3448,0.9159,Aarthi
Aarthi_2.json,Aarthi_3.json,1.0,1.0,0.4182,0.6064,0.2567,0.6196,0.3344,0.656,0.2681,0.6717,0.3785,0.8736,0.4019,0.929,Aarthi
Aarthi_2.json,Aarthi_4.json,1.0,1.0,0.4159,0.6278,0.115,0.4972,0.1479,0.5408,0.2343,0.7092,0.317,0.8433,0.3205,0.9143,Aarthi
Aarthi_3.json,Aarthi_4.json,1.0,1.0,0.5028,0.7177,0.1044,0.5492,0.253,0.5934,0.1479,0.693,0.3388,0.8731,0.3534,0.9296,Aarthi
Aarthi_1.json,Dhrithi_1.json,1.0,1.0,0.1015,0.4944,0.0229,0.4484,0.0244,0.49,0.0742,0.456,0.2428,0.8018,0.2189,0.8601,AllUsers
Aarthi_1.json,Govind_1.json,1.0,1.0,0.1059,0.499,0.1073,0.5651,0.0188,0.3931,0.1358,0.5123,0.2347,0.7672,0.2242,0.8282,AllUsers
Dhrithi_1.json,Govind_1.json,1.0,1.0,0.0676,0.4765,0.0186,0.4308,0.0086,0.3527,0.0088,0.3231,0.2422,0.8025,0.2054,0.827,AllUsers
Dhrithi_1.json,Dhrithi_2.json,1.0,1.0,0.5917,0.776,0.1389,0.6171,0.3864,0.6264,0.4713,0.6169,0.3655,0.8834,0.4161,0.9373,Dhrithi
Dhrithi_1.json,Dhrithi_3.json,1.0,1.0,0.1282,0.5353,0.2088,0.6449,0.4295,0.6911,0.223,0.5297,0.3817,0.8984,0.37,0.9373,Dhrithi
